n,t_mean,t_std,q
1000,0.04486759,0.0017138992343321854,1.0726144223349108
2000,0.08639654,0.0040099087515802646,1.032707293213598
3000,0.1317833,0.001369862770904844,1.0501468001207424
4000,0.17707679999999998,0.002753774008318193,1.0583091800836335
5000,0.22268359999999995,0.0014771546372070263,1.064704571729653
6000,0.26783149999999994,0.002224263486090523,1.0671397388612158
7000,0.3130502,0.001732991043126175,1.069120938282203
8000,0.3565621,0.0022603184362680532,1.0655064460728298
9000,0.40170340000000004,0.0027035743912252326,1.0670232624508635
10000,0.4475346000000001,0.0033793941008542945,1.0698860055864055
11000,0.4922038000000001,0.005791573050562321,1.069702883950608
12000,0.5414285999999999,0.003980303874496664,1.078625880107444
13000,0.5869607,0.0035305967405588135,1.0793854542354429
14000,0.6324183999999999,0.0031007141542984226,1.0799094732968217
15000,0.6759227999999999,0.00559365888603635,1.077250555341462
16000,0.6724946,0.02898555847774321,1.0048001894328777
17000,0.7619228,0.01267683800217283,1.0714525379151225
18000,0.7961997000000001,0.02971958281466577,1.0574513452666803
19000,0.8595366999999999,0.0074792957340766774,1.0814880206944308
20000,0.9075545,0.004941304264395484,1.0848098212484212
21000,0.9533918,0.004482168815304593,1.0853329974623436
22000,0.9966687000000001,0.006844035262750926,1.0830263629956771
23000,1.042754,0.008264836087639971,1.0838393586913595
24000,1.0869389999999999,0.008246969072870904,1.0826917302651773
25000,1.129619,0.01136255981526863,1.0801967577429852
26000,1.167183,0.012232591303562832,1.0731896979055726
27000,1.219038,0.006992330401550285,1.0793551525923322
28000,1.2729050000000002,0.007269143690972132,1.0867980502361183
29000,1.3125259999999999,0.00753521097544343,1.0819839207102275
30000,1.3596329999999999,0.011931641453621428,1.0834561316104279
31000,1.315655,0.07088552841651743,1.014591492230186
32000,1.3300120000000002,0.03404410857826785,0.9936111825641429
33000,1.3576409999999999,0.0391633633926176,0.9835170533490308
34000,1.429336,0.04024864613319995,1.0050005622180156
35000,1.469291,0.04151248606008663,1.0035769167562238
36000,1.4886949999999999,0.03986899749317898,0.9885852320980405
37000,1.5613990000000002,0.09607527077476512,1.008841786085552
38000,1.677724,0.08827652704239503,1.0554746574704392
39000,1.586522,0.03672353856104346,0.9725062056253074
40000,1.648847,0.04692017098813219,0.9854424276095789
41000,1.718384,0.04562522163112077,1.0019527765650393
42000,1.853214,0.09205443500692644,1.0548414122919767
43000,1.8174339999999998,0.039741852330593276,1.0104180188042535
44000,1.883847,0.048091737116565954,1.0235376935436606
45000,1.9088990000000003,0.0409503714404536,1.0141012690802174
46000,1.96554,0.04737064749868258,1.021491940132675
47000,1.9755589999999998,0.060964690955776564,1.004854162808186
48000,1.996642,0.04360878193921746,0.9944200096326125
49000,2.018637,0.053436967655568164,0.9848566886585014
50000,2.091506,0.05133139091563102,1.0
51000,2.133446,0.05674943038382758,1.0000515061827202
52000,2.1266760000000002,0.042813215301404986,0.977707340658248
53000,2.259172,0.0353841781340506,1.0190237750322693
54000,2.290844,0.06193134625445257,1.014174404401351
55000,2.3161880000000004,0.04146269509383649,1.0067508553862408
56000,2.344939,0.03902033243494128,1.0010468703959183
57000,2.419992,0.06687010855216102,1.0149624242053334
58000,2.3819660000000002,0.017628067392655405,0.9817896604251872
59000,2.4372700000000003,0.040441703173278255,0.9875577936890728
60000,2.462832,0.05721616978131659,0.981283343198633
61000,2.576834,0.05324977708873525,1.009874710564274
62000,2.576244,0.0649424472043432,0.9933589141184668
63000,2.667723,0.046750362101984466,1.012304280356105
64000,2.7058679999999997,0.043892099719400286,1.0107355058986203
65000,2.700808,0.02438100526593969,0.9933247217003515
66000,2.810589,0.0764594023649153,1.0180387199028311
67000,2.86006,0.038792122625318844,1.0204958218280789
68000,2.8503789999999998,0.08126780057316663,1.0020850582138927
69000,2.935166,0.0438458215923834,1.0169379786899828
70000,2.958078,0.06584854251318797,1.0102351402017766
71000,3.013757,0.06236630875543128,1.014754002382514
72000,3.0955120000000003,0.07326905922693429,1.0278053761792274
73000,3.096178,0.04291802879391788,1.013943953789135
74000,3.183121,0.06339771857970203,1.0283295541262767
75000,3.2610079999999995,0.10945601600643057,1.039444942225044
76000,3.2573040000000004,0.04765273041028774,1.024602921480855
77000,3.282569,0.05590957152203701,1.0191404240237953
78000,3.308193,0.09180164656596437,1.0139280205084464
79000,3.4286459999999996,0.05543716487058937,1.0375438148033285
80000,3.452397,0.046267512492268494,1.031671974644108
81000,3.4672810000000007,0.0639918702214934,1.0233281250831923
82000,3.483236,0.07959040494934058,1.0155000225884614
83000,3.535364,0.07768926498129156,1.018279340053335
84000,3.6992350000000007,0.1490272786550614,1.05279430001066
85000,3.699426999999999,0.11107808785314537,1.0404624846458792
86000,3.7547629999999996,0.054042631535976646,1.0437463455452896
87000,3.7758729999999994,0.062499072179779756,1.0375499539676138
88000,3.7567099999999995,0.04593690310269808,1.0205537627823291
89000,3.788715,0.09892742527844457,1.0176837040074032
90000,3.9363209999999995,0.07759134966820294,1.0455838998310307
91000,3.938432,0.05827412114786062,1.0346485386002366
92000,4.0286,0.16583931526899456,1.0468325320315268
93000,4.146294,0.18059033173333378,1.0658302307431322
94000,4.282598999999999,0.2182509028847307,1.0891569000946502
95000,4.089263,0.06522832889167074,1.0290401673294394
96000,4.231937,0.06892512282663474,1.0538501224317152
97000,4.219473,0.09343703977069866,1.039913862295507
98000,4.349708,0.17296609428825419,1.0610721535153156
99000,4.2834769999999995,0.054127987020476644,1.0343609926159534
100000,4.452305,0.15828952181577483,1.0643777737190332
